Age,Family_Size,Monthly_Income,Health_Status,Past_Aid,Food_Insecurity_Risk
69,3,11484,Fair,No,1
69,7,21814,Fair,No,1
56,1,15291,Poor,No,0
40,6,11225,Good,No,1
79,3,39656,Poor,Yes,0
38,1,44210,Good,Yes,0
78,3,14345,Fair,Yes,1
59,5,27359,Good,No,0
35,2,35022,Good,No,0
77,2,19890,Fair,Yes,1
36,4,29301,Good,Yes,0
41,4,31475,Fair,Yes,1
23,7,9311,Good,Yes,1
23,1,18217,Poor,No,0
19,7,14172,Fair,Yes,1
29,8,43069,Poor,No,2
41,7,7827,Poor,No,2
61,3,44172,Poor,No,0
71,2,28225,Good,Yes,0
37,5,35347,Good,Yes,0
42,1,36080,Poor,No,0
48,2,32640,Fair,No,1
24,9,19817,Poor,Yes,2
68,5,40761,Poor,Yes,2
65,4,9067,Fair,Yes,1
78,7,39659,Poor,Yes,2
32,9,38474,Good,No,0
33,1,9317,Good,Yes,1
61,2,5505,Good,Yes,1
62,1,6539,Good,Yes,1
29,9,8405,Good,Yes,1
51,3,40987,Poor,Yes,0
59,3,10005,Fair,Yes,1
61,8,15011,Poor,Yes,2
52,3,8117,Good,No,1
26,3,6378,Good,No,1
35,5,12557,Good,No,1
27,4,15875,Good,No,0
63,1,3971,Poor,No,2
27,3,6069,Good,Yes,1
37,3,37045,Good,No,0
62,7,40848,Poor,No,2
56,7,23019,Good,No,0
22,1,21023,Good,Yes,0
65,6,49750,Good,Yes,0
64,7,6069,Fair,Yes,1
79,8,10938,Poor,No,2
25,4,25436,Fair,Yes,1
19,5,33001,Good,Yes,0
56,3,37608,Poor,No,0
58,6,16573,Poor,Yes,2
47,5,16185,Poor,No,2
25,8,39365,Poor,Yes,2
69,2,15729,Good,Yes,0
42,5,47189,Good,No,0
38,2,20732,Poor,Yes,0
55,8,6754,Good,No,1
31,8,34336,Fair,No,1
67,2,20324,Poor,Yes,0
39,7,10031,Poor,No,2
43,1,16820,Poor,No,0
49,6,32965,Good,No,0
60,7,47014,Poor,No,2
46,6,7351,Good,Yes,1
50,3,5658,Good,No,1
74,6,30358,Fair,No,1
19,9,24932,Good,No,0
55,3,3650,Fair,Yes,2
41,7,18982,Poor,Yes,2
33,9,29240,Fair,Yes,1
27,6,43880,Poor,Yes,2
23,7,30691,Fair,Yes,1
76,6,46832,Fair,No,1
55,5,42353,Poor,No,2
61,4,7426,Good,No,1
46,8,16314,Fair,No,1
58,8,3857,Fair,No,2
52,4,24784,Good,No,0
25,2,38863,Good,No,0
41,6,26442,Poor,No,2
49,4,46069,Fair,Yes,1
72,6,24945,Poor,Yes,2
33,3,19600,Good,Yes,0
70,9,47088,Fair,No,1
38,7,47193,Fair,No,1
42,1,8355,Fair,No,1
21,7,45189,Fair,No,1
75,3,13734,Good,Yes,1
75,8,41269,Fair,No,1
41,8,3982,Poor,Yes,2
37,4,14566,Poor,No,1
21,8,31713,Good,No,0
74,7,27114,Good,Yes,0
57,3,39407,Good,No,0
22,4,29374,Poor,No,0
30,2,23001,Poor,Yes,0
23,2,49596,Good,No,0
55,5,3996,Good,Yes,2
64,4,6759,Good,Yes,1
79,7,9437,Poor,No,2
29,1,43321,Poor,Yes,0
30,1,3195,Poor,Yes,2
56,5,30782,Poor,Yes,2
54,2,6088,Fair,Yes,1
31,8,32570,Fair,No,1
29,5,25565,Fair,Yes,1
59,5,44651,Fair,Yes,1
23,1,34067,Fair,Yes,1
41,4,10117,Poor,Yes,1
18,3,48525,Good,No,0
45,9,40209,Good,Yes,0
55,6,16837,Fair,No,1
57,5,12262,Good,No,1
44,9,46101,Good,No,0
70,4,30764,Poor,No,0
25,7,30523,Poor,Yes,2
32,4,27481,Poor,Yes,0
46,9,13304,Good,Yes,1
20,4,29264,Fair,Yes,1
19,3,16778,Fair,No,1
24,5,11427,Good,No,1
48,4,13487,Poor,Yes,1
50,6,36519,Fair,No,1
46,6,15291,Poor,Yes,2
69,1,3894,Good,No,2
53,7,37150,Poor,No,2
59,9,22617,Good,Yes,0
53,9,22061,Poor,No,2
49,3,24079,Fair,Yes,1
39,1,33505,Poor,No,0
58,2,11216,Poor,Yes,1
26,7,10689,Good,Yes,1
72,4,36073,Good,Yes,0
79,7,26872,Fair,No,1
52,2,32654,Poor,Yes,0
21,2,43610,Fair,No,1
78,9,14903,Fair,Yes,1
57,2,13683,Fair,No,1
21,8,22319,Fair,Yes,1
52,3,10059,Poor,Yes,1
44,7,26452,Fair,Yes,1
47,3,20039,Poor,Yes,0
34,1,39026,Good,Yes,0
67,8,43838,Good,No,0
45,5,25114,Fair,No,1
32,7,48795,Poor,Yes,2
63,3,43296,Good,No,0
20,5,4387,Fair,Yes,2
33,5,34067,Poor,Yes,2
55,6,45922,Poor,No,2
64,3,13142,Good,No,1
79,1,2092,Good,Yes,2
72,5,8011,Poor,Yes,2
54,8,26602,Fair,Yes,1
