District,Latitude,Longitude,Year,Crop_Production (Tonnes),Food_Price_Index,Malnutrition_Rate (%),Income_Per_Capita (INR),Employment_in_Agri (%),Undernourishment (%),Dietary_Diversity_Score,Risk_Category
Ranipet,12.9236,79.3333,2018,25195,110.18637088540903,28.30395311625892,51541,63.87036726975735,18.08853984642704,9.153771567250754,1
Chennai,13.0827,80.2707,2015,41455,131.11552024300744,22.2963496985342,141428,49.25389081866081,17.192971707884237,6.004334073720241,1
Tirupattur,12.4963,78.56,2020,49582,104.32631567196282,30.42642899164209,179237,22.014065336699016,10.117848689877531,8.689297973080116,1
Nilgiris,11.4102,76.695,2016,17158,108.5444624084314,17.468833460874656,187921,45.615018045773326,29.92925628564312,9.457049277026387,1
Tirupattur,12.4963,78.56,2022,22958,93.2912730367144,15.155206382764186,227216,51.67320596178863,22.97945060129949,3.417378670710882,1
Dindigul,10.3624,77.9695,2018,10103,102.0442911212227,28.164560828475143,192839,53.77661843100284,26.142714542918178,7.4969860110600415,1
Madurai,9.9252,78.1198,2023,26119,132.58952470616367,16.349468214957785,215279,34.340787360351555,20.297602119183104,9.237386356892744,1
Dindigul,10.3624,77.9695,2021,19026,135.90590462496456,25.600358351723884,136784,43.13439158439135,13.922497179368872,7.521749837494129,1
Coimbatore,11.0168,76.9558,2015,24552,87.01718946060136,17.19249609722056,184917,49.19632695988706,22.79205148387715,4.99227185192124,1
Thoothukudi,8.7642,78.1348,2023,27547,133.21126508531114,24.28332240439784,151026,26.73736325654537,19.678320039605023,5.3605393693715815,1
Coimbatore,11.0168,76.9558,2019,29255,120.17060947739674,29.791709348016656,227484,51.542551932255584,25.15029276221211,8.389534051640805,1
Ranipet,12.9236,79.3333,2016,29685,91.7795011955399,27.870836411215183,222988,53.09391940223456,18.014263607479336,9.7808401514913,1
Thoothukudi,8.7642,78.1348,2015,7600,90.44746288190318,34.29852911945028,231549,44.274882014133176,25.74171700662738,4.073923055876212,1
Nilgiris,11.4102,76.695,2022,30675,92.72452070521533,27.21990743199878,80782,61.471443521698994,25.07515076147504,9.212937208888782,1
Ariyalur,11.136,79.0758,2024,16156,112.13868163006768,9.987659910491018,191002,55.45635957429687,23.29010851298671,5.137281293232864,1
Coimbatore,11.0168,76.9558,2020,44194,101.59277970426388,7.98484006618894,152802,46.20773338473779,27.582528184718985,3.018908517839144,1
Tirupattur,12.4963,78.56,2019,46520,107.66815208018104,21.58444627155048,200630,42.3784975253986,24.77124194082948,8.548742414562387,1
Chennai,13.0827,80.2707,2015,34179,100.17291681716706,21.937822438709645,180698,48.981622910090906,28.459040007400432,5.436093476344451,1
Coimbatore,11.0168,76.9558,2019,35581,147.8806542958584,7.644032929300745,207921,43.62879265219279,29.77465423741713,3.329273373903235,1
Coimbatore,11.0168,76.9558,2017,44391,119.47250447387816,24.37783679069118,63026,40.7581793302052,22.296171998649204,9.299000972944365,1
Dindigul,10.3624,77.9695,2023,49367,120.1129540433311,27.99787834136155,183177,34.15003177145388,21.806970736852,6.028209281698491,1
Vellore,12.9165,79.1325,2020,35391,144.154240578086,26.07196163241796,76425,36.00931097020276,21.7122155245851,5.126649880154574,1
Nagapattinam,10.7662,79.842,2021,41487,137.0070745488133,13.779652930022234,55409,48.07389718683384,10.365949072610714,7.058752411700523,1
Cuddalore,11.7447,79.768,2024,15775,110.09703338458752,10.592594145619238,125164,39.136459565888565,22.27378415669889,7.131618381844511,1
Cuddalore,11.7447,79.768,2015,34038,137.28662973456747,7.062617192674624,72912,27.14120552434413,9.795902865025266,8.605666462737828,1
Nilgiris,11.4102,76.695,2018,16577,90.17286846943529,32.354557086183405,167265,31.65223141334362,23.49019922500343,8.611239736291301,1
Tirunelveli,8.7139,77.7567,2023,8551,94.63415615947922,32.9049560858765,94013,54.501291197032735,15.15622739942262,5.184897938146742,1
Dindigul,10.3624,77.9695,2021,29519,132.1650319883584,9.072375592997032,165074,57.47582075783903,22.34613465680665,6.794962565143167,1
Salem,11.6643,78.146,2017,21194,107.43373940607364,11.56315125232639,100721,25.652648391725503,24.167630949920373,6.121631137244017,1
Chennai,13.0827,80.2707,2023,48954,134.84286920344874,18.919562523211425,77228,64.18810077290159,20.15505634025829,6.867524333830807,1
Virudhunagar,9.5851,77.957,2023,42253,106.74864461219812,33.47843515267951,189931,41.95207444105739,25.81522532595964,3.007156097161136,1
Salem,11.6643,78.146,2024,12619,95.43122029717932,12.194598566197708,190749,41.82908608709122,27.53764048628258,6.126213307746591,1
